101 
 0 231 105 224 224 175 147 224 126 112 182 119 182 329 315 294 287 161 196 112 203 273 322 196 266 133 77 84 168 77 70 147 84 175 189 287 252 399 294 168 294 287 343 322 259 273 238 196 280 42 84 105 126 182 238 273 266 168 224 196 266 133 168 266 245 175 357 126 28 56 175 238 224 252 273 77 91 140 112 133 105 182 210 245 259 336 238 105 147 147 280 231 238 189 210 203 224 252 217 273 105
 231 0 238 140 168 112 252 252 329 301 350 161 63 147 91 175 231 189 329 343 70 84 161 245 210 112 161 147 266 301 245 364 273 336 392 378 105 224 175 63 84 84 126 168 252 315 329 287 413 224 301 189 98 175 203 133 42 63 112 175 168 294 371 441 462 406 238 210 210 273 392 84 63 84 105 203 224 308 266 203 294 252 203 196 140 217 49 252 140 350 140 98 126 91 84 112 77 112 119 119 126
 105 238 0 175 301 238 245 315 105 203 280 77 224 371 329 357 364 245 301 154 189 252 280 98 189 126 147 112 63 147 175 217 49 98 154 385 301 448 231 175 280 315 371 378 343 371 336 301 378 56 98 196 161 112 161 231 280 189 280 280 336 238 259 357 231 203 294 42 126 147 161 210 210 231 245 49 21 63 28 56 63 280 294 322 315 406 266 210 217 231 336 280 301 238 259 266 266 301 280 322 154
 224 140 175 0 287 224 322 357 280 329 399 112 175 287 203 315 357 280 399 322 70 98 105 126 70 98 196 154 168 301 280 371 224 252 322 462 245 364 63 112 126 224 252 308 364 420 413 371 483 196 266 252 147 63 63 56 168 140 238 280 301 343 392 490 399 371 133 133 224 280 336 63 77 77 77 161 161 231 196 119 238 336 308 315 273 357 189 301 231 371 280 231 259 210 210 238 210 252 252 259 175
 224 168 301 287 0 70 147 98 350 238 245 245 112 140 203 77 70 77 210 322 224 252 329 350 357 210 154 189 350 273 189 308 308 392 413 231 77 189 336 175 245 140 196 112 84 154 189 154 273 252 308 126 154 294 343 294 175 147 56 28 49 203 287 329 462 385 406 294 196 238 399 245 224 245 273 252 280 357 322 294 329 119 49 28 56 112 126 175 84 280 77 77 49 77 84 56 91 70 42 84 147
 175 112 238 224 70 0 147 140 294 210 245 175 49 154 175 126 140 77 224 280 154 196 273 280 287 140 98 119 287 238 161 280 252 329 364 266 77 224 273 112 203 126 189 147 147 203 217 175 294 196 259 91 84 224 273 231 133 84 49 63 98 196 273 336 420 343 343 224 147 203 350 182 161 189 217 189 217 294 259 224 266 140 91 98 84 168 84 154 35 259 105 63 63 21 42 28 63 77 42 98 77
 147 252 245 322 147 147 0 84 252 98 105 238 189 280 322 224 175 70 77 203 273 329 399 329 378 224 126 175 315 154 77 168 231 315 322 147 210 329 385 224 336 266 329 259 126 126 91 49 161 189 210 70 175 301 357 350 280 203 182 112 189 63 140 189 350 259 455 266 119 126 287 301 287 315 343 210 238 287 259 266 245 42 98 147 196 252 231 42 112 140 217 196 182 168 182 161 203 203 168 224 147
 224 252 315 357 98 140 84 0 336 182 168 287 189 231 301 161 98 70 126 287 294 336 413 392 420 259 175 224 378 238 161 252 308 392 399 133 175 266 413 245 336 238 294 203 42 63 91 63 175 259 294 119 210 343 399 371 266 217 154 77 133 147 217 238 434 343 483 322 189 210 371 322 301 329 350 273 301 364 329 322 322 42 49 84 154 182 217 126 126 224 175 168 147 161 168 140 189 168 140 182 182
 126 329 105 280 350 294 252 336 0 175 245 175 301 448 420 420 406 280 280 77 287 357 385 189 287 224 196 189 140 105 175 154 56 77 63 371 371 518 336 266 385 399 455 448 378 378 329 301 350 105 42 231 238 217 266 336 371 273 350 322 392 217 203 301 126 98 392 147 154 126 56 315 308 336 343 133 119 70 84 161 42 294 329 371 378 462 350 210 266 175 399 350 364 308 329 329 343 371 343 392 224
 112 301 203 329 238 210 98 182 175 0 77 224 245 364 385 315 273 154 105 112 301 364 420 301 371 238 147 175 266 70 56 70 168 245 231 196 287 420 399 252 378 336 399 350 231 210 154 133 175 147 133 119 210 287 350 371 336 245 259 203 280 42 63 161 252 161 462 231 105 56 196 329 315 350 371 182 203 224 210 245 182 140 196 245 280 343 294 63 175 49 308 273 266 231 252 238 273 287 245 308 175
