52 
 0 1998 843 1188 873 978 1923 1281 1800 1683 3123 1965 2925 3363 897 780 1290 486 915 630 861 138 543 825 1230 2187 2397 2121 1218 1080 438 273 2481 405 366 375 624 720 498 627 1185 1698 1392 462 720 840 2373 801 192 651 2367 3660
 1998 0 1947 3141 2835 2934 135 2868 3405 3399 4917 3777 4320 4548 2874 2172 1485 1785 2529 1692 1176 1908 1530 2766 3087 3576 3906 3732 1905 1170 1623 2190 4467 2346 2331 2355 2574 2691 2484 2610 2688 309 3372 2235 2469 2577 3453 2730 2184 1788 4266 5148
 843 1947 0 1812 1527 1629 1833 924 1458 1461 3801 2673 3744 4200 1515 1611 651 405 621 1323 867 723 1083 1518 1959 3018 3204 2910 1953 1512 627 735 2709 1182 1122 1104 1341 1386 1176 1281 741 1650 1671 1302 660 1659 3216 1515 864 1389 2985 4452
 1188 3141 1812 0 312 210 3078 1575 1833 1602 1989 882 2133 2691 300 1152 2400 1596 1425 1503 2043 1311 1614 375 327 1548 1581 1251 1740 2070 1623 1113 1551 801 825 813 570 465 690 564 1635 2850 735 921 1233 693 1980 411 1035 1434 1191 2727
 873 2835 1527 312 0 105 2772 1413 1752 1539 2283 1146 2307 2832 75 927 2100 1290 1203 1221 1731 996 1311 96 450 1656 1752 1437 1530 1782 1311 810 1770 489 513 498 261 153 381 255 1440 2544 801 636 993 513 2022 141 726 1161 1500 2952
 978 2934 1629 210 105 0 2871 1476 1788 1569 2178 1047 2232 2769 120 987 2205 1398 1284 1305 1836 1104 1407 171 372 1599 1677 1356 1584 1872 1416 915 1704 591 618 603 363 258 486 360 1512 2643 780 723 1080 546 1986 213 831 1242 1395 2865
 1923 135 1833 3078 2772 2871 0 2754 3288 3288 4881 3735 4320 4566 2805 2142 1353 1686 2421 1656 1086 1827 1473 2703 3036 3570 3894 3711 1911 1158 1536 2103 4380 2280 2262 2286 2508 2625 2412 2541 2574 228 3285 2181 2367 2532 3471 2670 2106 1755 4215 5145
 1281 2868 924 1575 1413 1476 2754 0 549 540 3435 2436 3702 4242 1359 1983 1521 1143 378 1908 1740 1245 1761 1461 1848 3069 3147 2823 2493 2277 1371 1017 1935 1365 1305 1266 1383 1338 1242 1266 192 2568 1077 1590 561 1797 3408 1485 1149 1932 2580 4290
 1800 3405 1458 1833 1752 1788 3288 549 0 249 3498 2622 3951 4521 1683 2454 2010 1695 924 2430 2289 1779 2301 1818 2142 3378 3405 3072 2994 2820 1920 1530 1710 1821 1767 1725 1788 1716 1674 1665 717 3108 1170 2058 1083 2202 3771 1854 1653 2445 2649 4461
 1683 3399 1461 1602 1539 1569 3288 540 249 0 3249 2376 3711 4284 1470 2292 2058 1644 873 2310 2253 1680 2205 1614 1917 3150 3165 2835 2850 2736 1857 1413 1503 1656 1608 1563 1602 1518 1500 1476 732 3096 924 1896 987 2010 3555 1650 1521 2316 2400 4212
 3123 4917 3801 1989 2283 2178 4881 3435 3498 3249 0 1161 1329 1860 2286 2745 4383 3570 3372 3228 3942 3258 3432 2310 1893 1623 1251 1254 3126 3753 3561 3093 2118 2718 2760 2760 2505 2430 2655 2538 3540 4656 2367 2739 3204 2361 2115 2325 3000 3129 855 1197
 1965 3777 2673 882 1146 1047 3735 2436 2622 2376 1161 0 1356 1959 1164 1614 3234 2421 2307 2082 2781 2100 2274 1164 735 1005 849 546 2064 2625 2400 1953 1752 1560 1605 1608 1353 1290 1509 1395 2508 3510 1452 1578 2115 1203 1551 1173 1851 1989 564 1857
 2925 4320 3744 2133 2307 2232 4320 3702 3951 3711 1329 1356 0 618 2352 2277 4200 3411 3507 2760 3585 3060 3024 2280 1860 762 555 882 2415 3168 3312 3012 3030 2562 2622 2643 2421 2412 2589 2508 3744 4113 2793 2466 3294 2088 972 2268 2877 2655 1620 837
 3363 4548 4200 2691 2832 2769 4566 4242 4521 4284 1860 1959 618 0 2886 2652 4602 3843 4023 3105 3939 3495 3381 2793 2397 1188 1122 1452 2661 3438 3717 3483 3648 3030 3093 3117 2913 2925 3078 3012 4269 4371 3375 2898 3804 2547 1095 2775 3342 3000 2235 957
 897 2874 1515 300 75 120 2805 1359 1683 1470 2286 1164 2352 2886 0 996 2100 1296 1164 1275 1758 1017 1353 168 492 1713 1797 1476 1599 1836 1329 810 1707 528 543 525 309 183 399 270 1392 2580 726 693 960 588 2088 216 738 1218 1491 2985
 780 2172 1611 1152 927 987 2142 1983 2454 2292 2745 1614 2277 2652 996 0 1953 1224 1647 495 1305 891 747 834 978 1518 1794 1578 603 1011 1071 993 2691 633 687 729 732 852 795 846 1923 1920 1710 396 1428 468 1617 786 846 390 2130 3069
 1290 1485 651 2400 2100 2205 1353 1521 2010 2058 4383 3234 4200 4602 2100 1953 0 816 1263 1536 759 1149 1254 2073 2502 3447 3678 3408 2121 1476 888 1290 3360 1683 1635 1629 1881 1950 1728 1845 1329 1224 2319 1737 1311 2124 3564 2061 1386 1632 3591 4947
 486 1785 405 1596 1290 1398 1686 1143 1695 1644 3570 2421 3411 3843 1296 1224 816 0 774 918 615 348 687 1260 1689 2670 2880 2601 1551 1155 240 489 2709 870 819 813 1068 1140 915 1035 990 1479 1623 945 684 1323 2838 1248 570 987 2787 4143
 915 2529 621 1425 1203 1284 2421 378 924 873 3372 2307 3507 4023 1164 1647 1263 774 0 1536 1383 870 1383 1230 1653 2835 2955 2637 2133 1899 996 660 2103 1053 990 954 1113 1098 957 1008 276 2226 1104 1260 225 1512 3135 1245 801 1566 2529 4146
 630 1692 1323 1503 1221 1305 1656 1908 2430 2310 3228 2082 2760 3105 1275 495 1536 918 1536 0 837 672 282 1134 1401 1998 2286 2073 630 567 708 900 2970 771 786 825 969 1098 942 1044 1803 1431 1914 582 1350 885 2040 1095 792 105 2577 3558
 861 1176 867 2043 1731 1836 1086 1740 2289 2253 3942 2781 3585 3939 1758 1305 759 615 1383 837 0 753 561 1674 2055 2823 3093 2856 1377 726 450 1020 3294 1248 1218 1233 1476 1581 1359 1488 1575 870 2199 1206 1299 1590 2874 1647 1032 939 3216 4371
